iter	RMSE
0	63.62393451
1	62.56326584
2	61.63113903
3	60.70093321
4	59.80677689
5	58.75737553
6	57.714641
7	56.75775858
8	55.83611389
9	55.01849436
10	54.05213396
11	53.2612786
12	52.49022405
13	51.71911376
14	50.86778084
15	49.95485845
16	49.23642526
17	48.39793684
18	47.53965903
19	46.86310471
20	46.19633285
21	45.38769611
22	44.63764987
23	43.88194542
24	43.10058868
25	42.38555803
26	41.78816605
27	41.20567282
28	40.51111024
29	39.80937838
30	39.13826095
31	38.59332788
32	37.88930297
33	37.36755613
34	36.8417661
35	36.24948502
36	35.65582927
37	35.08492953
38	34.51333936
39	34.04609276
40	33.49205717
41	32.94120809
42	32.39914359
43	31.85157776
44	31.39461867
45	30.88987039
46	30.40261736
47	29.87309471
48	29.38956344
49	28.9218178
50	28.47185487
51	28.03067815
52	27.59742654
53	27.10560302
54	26.74191361
55	26.38589374
56	25.97004475
57	25.50147412
58	25.02150494
59	24.63882962
60	24.32299567
61	23.92722257
62	23.56893323
63	23.2647835
64	22.91315659
65	22.51304877
66	22.22526656
67	21.85826886
68	21.49852649
69	21.12603744
70	20.82754454
71	20.57282783
72	20.28580403
73	20.00419109
74	19.66343282
75	19.41995988
76	19.12780311
77	18.7957
78	18.50115823
79	18.2402985
80	18.02053581
81	17.72651601
82	17.51562477
83	17.22826645
84	16.97855962
85	16.78028562
86	16.50363367
87	16.25325231
88	16.03488732
89	15.74331675
90	15.55541408
91	15.31115692
92	15.06675141
93	14.89057794
94	14.70975033
95	14.54671867
96	14.37189177
97	14.06797974
98	13.85120436
99	13.59670854
100	13.36511412
101	13.1250903
102	12.89977051
103	12.65731352
104	12.43377951
105	12.2653962
106	12.07036382
107	11.92813175
108	11.71935969
109	11.49538462
110	11.3218076
111	11.14948899
112	10.97978581
113	10.79010747
114	10.67073959
115	10.54809024
116	10.37189102
117	10.13079985
118	9.989159022
119	9.767063262
120	9.586665979
121	9.425259789
122	9.317511641
123	9.189818847
124	9.093714241
125	8.966743942
126	8.854510956
127	8.754222362
128	8.602126375
129	8.452497751
130	8.299282706
131	8.178705846
132	8.090912402
133	8.008545006
134	7.882514012
135	7.760432078
136	7.6233812
137	7.518114711
138	7.395984839
139	7.227305457
140	7.123094377
141	7.022705021
142	6.941675106
143	6.832941226
144	6.769229779
145	6.674487248
146	6.607365378
147	6.547717951
148	6.485705635
149	6.387438957
150	6.246855845
151	6.212015575
152	6.149053671
153	6.062477301
154	5.981721732
155	5.851483633
156	5.764774958
157	5.712762236
158	5.688576864
159	5.562555807
160	5.514957678
161	5.454022838
162	5.383592069
163	5.265868918
164	5.217933743
165	5.142227843
166	5.097509179
167	5.027836494
168	4.984588738
169	4.932353657
170	4.859726405
171	4.801649318
172	4.69213803
173	4.630183537
174	4.577875029
175	4.556743678
176	4.539664652
177	4.445053452
178	4.381458322
179	4.328847261
180	4.245554467
181	4.202329487
182	4.166451247
183	4.122654251
184	4.076235837
185	4.032390044
186	3.983902591
187	3.908403247
188	3.866336772
189	3.851418464
190	3.835809335
191	3.791899003
192	3.754456385
193	3.702901372
194	3.662544999
195	3.588303194
196	3.51779454
197	3.487604234
198	3.422370707
199	3.389040606
200	3.357003675
201	3.320397579
202	3.290777052
203	3.242518403
204	3.213156343
205	3.203381612
206	3.178227941
207	3.146365372
208	3.119708395
209	3.094800206
210	3.041399967
211	2.998165869
212	2.98463583
213	2.975984166
214	2.955176104
215	2.933764264
216	2.883564521
217	2.863792878
218	2.826091632
219	2.804842332
220	2.785381664
221	2.743726311
222	2.692224786
223	2.660384217
224	2.617942454
225	2.57958195
226	2.540663293
227	2.526416234
228	2.493821968
229	2.483439767
230	2.470195321
231	2.428841799
232	2.395759397
233	2.370644791
234	2.332984281
235	2.319647058
236	2.299767615
237	2.288881347
238	2.263159587
239	2.238795405
240	2.216843305
241	2.192508378
242	2.172393604
243	2.155893087
244	2.146800575
245	2.132363205
246	2.118828824
247	2.100109266
248	2.084722349
249	2.076016712
250	2.06674312
251	2.046556438
252	2.020345874
253	2.006256701
254	1.988417561
255	1.975395474
256	1.951516523
257	1.940788639
258	1.918607302
259	1.898802311
260	1.880293374
261	1.862547181
262	1.838956568
263	1.821084325
264	1.80740563
265	1.791602499
266	1.772102229
267	1.756196549
268	1.742229561
269	1.730038551
270	1.720275093
271	1.714561773
272	1.700276089
273	1.686333745
274	1.670508204
275	1.658027848
276	1.646418062
277	1.634090911
278	1.621245103
279	1.608784928
280	1.597855716
281	1.589598609
282	1.579470251
283	1.571644565
284	1.565126689
285	1.558163974
286	1.553437089
287	1.541399683
288	1.5369599
289	1.523808687
290	1.514359264
291	1.505105642
292	1.495642875
293	1.485951595
294	1.479739868
295	1.471098969
296	1.463686092
297	1.454523337
298	1.450532
299	1.44226117
300	1.438585682
301	1.428717298
302	1.419592845
303	1.411848409
304	1.402795861
305	1.394702127
306	1.387714505
307	1.379838896
308	1.372495913
309	1.365622871
310	1.359815637
311	1.355681752
312	1.349286321
313	1.342413651
314	1.336310915
315	1.332320932
316	1.328004495
317	1.320285481
318	1.313698891
319	1.305510426
320	1.301650542
321	1.295696359
322	1.289796014
323	1.284437109
324	1.281204529
325	1.278270356
326	1.271664256
327	1.266751906
328	1.263505736
329	1.258108641
330	1.254383527
331	1.247666026
332	1.241956699
333	1.235622409
334	1.230755934
335	1.226161504
336	1.220313087
337	1.214163925
338	1.209822765
339	1.206426675
340	1.203127485
341	1.200829989
342	1.197332379
343	1.19516461
344	1.190742021
345	1.184595542
346	1.179005826
347	1.176358742
348	1.169701692
349	1.166957219
350	1.163031999
351	1.158700406
352	1.153311561
353	1.148923236
354	1.146920754
355	1.142751167
356	1.138825243
357	1.135297033
358	1.129509817
359	1.1274906
360	1.125657976
361	1.122494339
362	1.119685365
363	1.115063287
364	1.112336408
365	1.108266397
366	1.104066886
367	1.098935427
368	1.097293523
369	1.094950258
370	1.091473184
371	1.08748341
372	1.084115806
373	1.079853209
374	1.075524308
375	1.072286883
376	1.070072306
377	1.06785908
378	1.066261525
379	1.063266496
380	1.060583444
381	1.056709901
382	1.054905137
383	1.053130762
384	1.050285406
385	1.047742935
386	1.044709187
387	1.042847528
388	1.041136086
389	1.03901013
390	1.034419695
391	1.031007613
392	1.028557514
393	1.02434513
394	1.021731798
